,Manufacturer,Year,Kilometers_Driven,Location,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
909,Maruti,6,59923,Coimbatore,Diesel,Manual,First,22.9,1248,74,5,6460
910,Hyundai,3,23360,Jaipur,Petrol,Manual,First,21.1,814,55.2,5,3750
911,Maruti,17,61495,Kochi,Petrol,Manual,Third,17.3,993,60,5,1520
912,Maruti,8,56661,Coimbatore,Petrol,Manual,First,15.1,1196,73,7,3610
913,Audi,3,40318,Coimbatore,Diesel,Automatic,First,14.16,1968,174.3,5,43740
914,Audi,6,60000,Chennai,Diesel,Automatic,First,15.73,1968,174.33,5,20000
915,Smart,12,103000,Pune,Diesel,Automatic,Second,18.13658965,799,113.2530497,2,3000
916,Maruti,10,130000,Hyderabad,Diesel,Manual,First,19.3,1248,73.9,5,3650
917,Tata,7,20000,Mumbai,Diesel,Manual,First,14.07,1978,83.1,10,5250
918,BMW,4,76000,Hyderabad,Diesel,Automatic,First,15.97,2993,258,7,58000
919,Honda,5,30000,Mumbai,Petrol,Automatic,First,18,1497,117.3,5,8650
920,Tata,5,150000,Delhi,Diesel,Manual,First,25,1396,69.01,5,2500
921,Volkswagen,6,28000,Chennai,Petrol,Automatic,First,16.93,1197,103.6,5,7750
922,Maruti,5,74000,Bangalore,Petrol,Manual,First,23.1,998,67.04,5,4150
923,Toyota,9,75000,Delhi,Diesel,Manual,First,11.5,2982,171,7,10850
924,Mitsubishi,10,76000,Delhi,Petrol,Automatic,Second,11.3,2360,170,5,5530
925,Volkswagen,6,64889,Pune,Diesel,Automatic,First,15.5,1896,105,5,11500
926,Porsche,10,10000,Hyderabad,Petrol,Manual,First,9,3436,113.2530497,2,40000
927,Hyundai,5,43000,Kolkata,Diesel,Manual,First,19.67,1582,126.2,5,9250
928,Skoda,9,47490,Pune,Petrol,Manual,First,17.5,1198,75,5,2290
929,Ford,5,80000,Chennai,Diesel,Manual,First,22.77,1498,98.59,5,7000
930,Maruti,13,60000,Bangalore,Petrol,Manual,Second,18.2,1061,64,5,1650
931,Maruti,3,6006,Ahmedabad,Petrol,Manual,First,20.73,1373,91.1,5,8250
932,Mercedes-Benz,9,71703,Kochi,Petrol,Automatic,First,14.74,1991,181.03,5,9140
933,Honda,4,33000,Hyderabad,Petrol,Manual,First,17.8,1198,86.7,5,6500
934,Toyota,8,60000,Kolkata,Diesel,Manual,First,23.59,1364,113.2530497,5,2950
935,Renault,5,91000,Jaipur,Diesel,Manual,First,19.87,1461,83.8,5,5750
936,Maruti,8,72000,Hyderabad,LPG,Manual,First,26.2,998,58.2,5,2850
937,Volkswagen,9,43000,Kolkata,Petrol,Manual,Second,16.47,1198,73.9,5,2100
938,Hyundai,3,63770,Coimbatore,Diesel,Manual,First,19.67,1582,126.2,5,13550
939,Jaguar,8,43510,Kolkata,Diesel,Automatic,First,14.74,2993,270.9,5,20500
940,Jeep,3,52000,Mumbai,Diesel,Manual,First,16.3,1956,170,5,20000
941,Land,2,31427,Kochi,Diesel,Automatic,First,15.68,1999,177,5,59720
942,Maruti,4,29000,Kolkata,Diesel,Manual,First,27.39,1248,74,5,6500
943,Maruti,4,56000,Ahmedabad,Diesel,Manual,First,28.09,1248,88.5,5,7500
944,Maruti,13,76000,Jaipur,Petrol,Manual,Second,15,1586,104.68,5,2150
945,Hyundai,5,53615,Coimbatore,Diesel,Manual,First,22.7,1582,126.24,5,8440
946,Mitsubishi,7,132000,Bangalore,Diesel,Manual,First,13.5,2477,175.56,7,12490
947,Volkswagen,3,14800,Pune,Petrol,Manual,First,17,1198,73.75,5,5480
948,Maruti,7,35433,Hyderabad,Petrol,Manual,First,18.5,1197,85.8,5,4200
949,Hyundai,7,82966,Hyderabad,Diesel,Manual,First,16.8,1493,110,5,7200
950,Maruti,6,96000,Jaipur,Diesel,Manual,First,23.4,1248,74,5,4800
951,Mahindra,3,39528,Kochi,Diesel,Manual,First,25.32,1198,77,6,5830
952,Toyota,2,92056,Coimbatore,Diesel,Manual,First,13.68,2393,147.8,7,18390
953,Maruti,4,14930,Pune,Petrol,Manual,First,21.4,1197,83.1,5,5850
954,Honda,4,38000,Mumbai,Diesel,Manual,First,27.3,1498,98.6,5,6210
955,Hyundai,7,71000,Delhi,Petrol,Manual,First,17,1197,80,5,3650
956,Hyundai,8,71000,Delhi,Diesel,Manual,First,23,1396,90,5,3700
957,Mercedes-Benz,5,50000,Pune,Diesel,Automatic,First,19.27,2143,167.62,5,30000
958,Hyundai,4,48163,Kochi,Petrol,Manual,First,19.1,1197,82,5,4850
959,Hyundai,3,19168,Coimbatore,Petrol,Automatic,First,18.9,1197,82,5,6930
960,Maruti,4,26000,Kolkata,Petrol,Manual,First,22.74,796,47.3,5,2600
961,Chevrolet,6,37400,Kolkata,Petrol,Manual,First,18.2,1199,82.5,5,1890
962,Mercedes-Benz,2,8682,Mumbai,Diesel,Automatic,First,18.13658965,1950,194,5,39500
963,Skoda,8,95000,Mumbai,Petrol,Automatic,First,13.7,1798,157.75,5,10000
964,Audi,11,34000,Kolkata,Diesel,Automatic,First,16.55,1968,147.51,5,9950
965,Toyota,6,95000,Mumbai,Diesel,Manual,Second,12.8,2494,102,8,9450
966,Mercedes-Benz,3,13689,Coimbatore,Diesel,Automatic,First,17.9,2143,136,5,28250
967,Hyundai,12,84000,Jaipur,Petrol,Manual,Second,19.81,1086,68.05,5,1800
968,Maruti,12,47000,Kolkata,Petrol,Manual,Second,17.5,1298,85.8,5,1400
969,Skoda,5,60001,Ahmedabad,Diesel,Automatic,First,21.66,1498,103.52,5,7250
970,Maruti,8,96000,Hyderabad,Diesel,Manual,First,21.1,1248,73.9,5,3600
971,Hyundai,16,47300,Jaipur,Petrol,Manual,Second,14.4,1599,94,5,1200
972,Honda,6,28246,Coimbatore,Petrol,Manual,Second,17.8,1198,86.7,5,4940
973,Maruti,13,65000,Delhi,Petrol,Manual,Second,18.9,998,67.1,5,1250
974,Volkswagen,7,68000,Chennai,Diesel,Manual,Second,22.07,1199,73.9,5,4800
975,Ford,1,11209,Kochi,Diesel,Automatic,First,12.62,2198,158,7,31150
976,Hyundai,9,41980,Pune,Petrol,Manual,Second,17,1197,80,5,3300
977,Chevrolet,8,65000,Bangalore,Diesel,Manual,First,25.44,936,57.6,5,2400
978,Honda,10,38000,Kolkata,Petrol,Manual,First,14.8,1799,130.2,5,2000
979,Maruti,6,51000,Pune,Petrol,Manual,First,20.51,998,67.04,5,3100
980,Skoda,6,33855,Kochi,Petrol,Manual,First,15,1598,103.6,5,5090
981,Maruti,14,146000,Pune,Petrol,Manual,Second,15.4,1590,94,5,1050
982,Ford,5,47037,Bangalore,Diesel,Manual,Second,22.77,1498,98.59,5,7000
983,Hyundai,10,58000,Ahmedabad,Petrol,Manual,Second,13.2,1495,94,5,2500
984,BMW,8,61240,Mumbai,Diesel,Automatic,First,22.48,1995,190,5,17500
985,Maruti,9,91211,Chennai,Petrol,Manual,First,20.92,998,67.1,5,2100
986,Audi,7,84000,Bangalore,Diesel,Automatic,First,15.73,1968,174.33,5,17750
987,Maruti,12,64226,Mumbai,LPG,Manual,First,17.3,1061,57.5,5,1450
988,Toyota,15,67000,Bangalore,Petrol,Automatic,Second,11.3,1794,125,5,2450
989,Volvo,9,106976,Pune,Diesel,Automatic,First,13.5,2400,215,5,13800
990,Honda,4,27210,Kolkata,Diesel,Manual,First,27.3,1498,98.6,5,5850
991,Maruti,3,26322,Delhi,Diesel,Manual,First,28.09,1248,88.5,5,8900
992,Maruti,4,9107,Mumbai,Petrol,Manual,First,20.4,1197,81.8,5,5150
993,Mercedes-Benz,5,63983,Kochi,Diesel,Automatic,First,19.27,2143,170,5,16560
994,Maruti,10,134000,Chennai,Petrol,Manual,Second,18.9,1061,67,5,1650
995,Mercedes-Benz,5,11000,Pune,Petrol,Automatic,First,15.5,1595,120.7,5,16000
996,Hyundai,12,93000,Pune,Petrol,Manual,First,18.13658965,1086,62,5,1450
997,Maruti,3,24852,Coimbatore,Diesel,Automatic,First,26.59,1248,74,5,8080
998,Hyundai,6,37632,Pune,Petrol,Automatic,First,18.9,1197,82,5,4500
999,Nissan,7,55000,Chennai,Petrol,Manual,Second,16.95,1498,97.7,5,4300
1000,Maruti,10,81448,Hyderabad,Petrol,Manual,First,19,998,66.1,5,2600
1001,Renault,2,1900,Hyderabad,Petrol,Manual,First,25.17,799,53.3,5,4450
1002,Hyundai,8,54957,Coimbatore,Petrol,Automatic,First,17.1,1591,121.4,5,5370
1003,Maruti,12,55000,Chennai,Petrol,Manual,Second,18.9,1061,67,5,1750
1004,BMW,7,21983,Kolkata,Diesel,Automatic,First,18.88,1995,184,5,16500
1005,BMW,7,76000,Delhi,Diesel,Automatic,First,18.48,1995,177,5,19000
1006,Tata,4,65000,Jaipur,Diesel,Manual,First,25,1396,69.01,5,2800
1007,Hyundai,5,26000,Hyderabad,Diesel,Manual,First,22.54,1396,88.73,5,6200
1008,Maruti,1,11571,Kochi,Petrol,Manual,First,16.8,796,34.2,8,3800
1009,Maruti,6,81000,Hyderabad,Diesel,Manual,First,25.2,1248,74,5,6100
1010,Ford,1,23154,Coimbatore,Diesel,Manual,First,23,1498,98.96,5,11650
1011,Honda,6,26856,Mumbai,Petrol,Automatic,First,16.5,1198,86.8,5,4150
1012,Toyota,3,67489,Chennai,Diesel,Manual,First,13.68,2393,147.8,7,16500
1013,Mahindra,12,176000,Bangalore,Diesel,Manual,Second,10.5,2179,120,8,4300
1014,Hyundai,10,18000,Kolkata,Petrol,Manual,First,18.5,1197,80,5,2250
1015,Hyundai,6,63003,Ahmedabad,Diesel,Manual,First,22.32,1582,126.32,5,6750
1016,Mahindra,6,80000,Chennai,Diesel,Manual,First,15.1,2179,140,7,9400
1017,Volkswagen,6,56658,Coimbatore,Diesel,Manual,First,20.64,1498,108.5,5,5390
1018,Maruti,1,18592,Kochi,Diesel,Manual,First,26.59,1248,74,5,8510
1019,Tata,10,75695,Pune,Petrol,Manual,First,13.7,1368,88.8,5,1850
1020,Maruti,8,82000,Kolkata,Diesel,Manual,Second,22.9,1248,74,5,2500
1021,Volkswagen,7,60000,Chennai,Diesel,Manual,First,22.07,1199,73.9,5,4750
1022,Honda,11,138000,Pune,Petrol,Manual,Second,17,1497,118,5,3500
1023,Hyundai,6,67000,Bangalore,Diesel,Manual,First,23,1396,90,5,5500
1024,Honda,8,42750,Coimbatore,Petrol,Manual,First,17,1497,118,5,6330
1025,Chevrolet,6,52398,Kochi,Diesel,Manual,First,25.44,936,57.6,5,2470
1026,Chevrolet,6,36657,Kochi,Petrol,Manual,First,16.2,995,62.1,5,3300
1027,Tata,9,77000,Delhi,Diesel,Manual,Second,11.57,2179,138.1,7,3500
1028,Mercedes-Benz,6,85000,Delhi,Diesel,Automatic,First,11.3,2987,254.8,7,38750
1029,BMW,12,112500,Pune,Diesel,Automatic,First,11.5,2993,235,5,7990
1030,Toyota,7,105072,Kochi,Diesel,Manual,First,14.24,2755,174.5,7,13280
1031,BMW,8,80000,Pune,Petrol,Automatic,First,11.25,1995,150,5,9500
1032,Renault,1,3102,Kochi,Diesel,Manual,First,20.37,1461,108.45,5,14010
1033,Hyundai,4,14656,Coimbatore,Diesel,Manual,First,24.4,1120,71,5,6990
1034,BMW,10,105000,Hyderabad,Diesel,Automatic,Second,13.2,1995,170,5,11000
1035,BMW,12,61000,Hyderabad,Petrol,Automatic,Second,10.8,2497,215,5,11000
1036,Nissan,10,85046,Pune,Petrol,Manual,Second,18.06,1198,75,5,2300
1037,Jaguar,6,48000,Delhi,Diesel,Automatic,First,16.36,2179,187.7,5,26500
1038,Land,9,55000,Bangalore,Diesel,Automatic,First,10.2,4367,308,7,67000
1039,Jeep,3,4000,Mumbai,Petrol,Automatic,First,16,1368,160,5,17750
1040,Honda,10,94000,Delhi,Petrol,Automatic,Second,10.1,2354,152,5,4800
1041,Maruti,7,61110,Coimbatore,Petrol,Manual,First,18.6,1197,85.8,5,4570
1042,Hyundai,4,80000,Chennai,Diesel,Manual,First,24.4,1120,71,5,3500
1043,Nissan,5,43190,Kochi,Diesel,Manual,First,19.01,1461,108.5,5,7610
1044,Audi,5,45000,Hyderabad,Diesel,Automatic,First,18.25,1968,187.74,5,25000
1045,Hyundai,4,44178,Coimbatore,Petrol,Manual,First,18.9,1197,82,5,5880
1046,Toyota,5,84415,Hyderabad,Diesel,Manual,First,12.99,2494,100.6,8,13500
1047,Hyundai,5,35000,Kolkata,Petrol,Manual,First,18.5,1197,80,5,4600
1048,Ford,7,44000,Kolkata,Diesel,Manual,First,22.77,1498,98.59,5,4900
1049,Honda,8,67635,Hyderabad,Petrol,Manual,First,17,1497,118,5,5250
1050,Ford,2,18385,Coimbatore,Petrol,Automatic,First,14.8,1497,121.36,5,12410
1051,Volkswagen,6,35000,Kolkata,Diesel,Manual,First,22.07,1199,73.9,5,3800
1052,Mercedes-Benz,10,49000,Mumbai,Diesel,Automatic,First,19.27,2143,170,5,8950
1053,Ford,7,69000,Hyderabad,Diesel,Manual,First,22.7,1498,89.84,5,7200
1054,Tata,3,23228,Hyderabad,Petrol,Manual,First,14.4,1396,65,5,4500
1055,Maruti,6,68462,Delhi,Diesel,Manual,First,26.59,1248,74,5,4150
1056,Maruti,4,74611,Coimbatore,Diesel,Manual,First,25.1,1248,88.5,5,7940
1057,Renault,6,90000,Pune,Diesel,Manual,First,19.01,1461,108.45,5,7250
1058,Maruti,4,22000,Delhi,Petrol,Manual,First,18.9,998,67.1,5,3700
1059,Hyundai,10,58163,Hyderabad,Petrol,Manual,First,18.13658965,1086,62,5,2450
1060,Chevrolet,9,109500,Chennai,Diesel,Manual,Third,25.44,936,57.6,5,1500
1061,Mahindra,3,13363,Delhi,Diesel,Manual,First,16,1997,140,7,12000
1062,Hyundai,8,51000,Delhi,Petrol,Manual,Second,19.81,1086,68.05,5,2200
1063,Tata,13,103000,Hyderabad,Diesel,Manual,First,13.93,2179,138,7,3600
1064,Hyundai,11,43002,Kolkata,Petrol,Manual,First,20.36,1197,78.9,5,1920
1065,Toyota,4,108000,Bangalore,Diesel,Automatic,First,11.36,2755,171.5,7,20500
1066,Skoda,10,82407,Jaipur,Diesel,Manual,First,17.5,1896,106,5,4250
1067,Hyundai,7,29000,Kolkata,Petrol,Manual,First,18.9,1197,82,5,3200
1068,Toyota,8,225000,Pune,Diesel,Manual,Second,23.59,1364,113.2530497,5,2600
1069,Maruti,6,45000,Kolkata,Diesel,Manual,First,23.4,1248,74,5,3850
1070,Hyundai,10,93401,Kochi,Diesel,Manual,First,23,1396,90,5,3480
1071,Ford,3,95802,Hyderabad,Diesel,Manual,Second,25.83,1498,99,5,4550
1072,Maruti,4,130000,Pune,Diesel,Manual,First,25.47,1248,88.5,7,7000
1073,Maruti,7,67443,Ahmedabad,Diesel,Manual,First,20.77,1248,88.8,7,5750
1074,Honda,4,47681,Kochi,Petrol,Automatic,First,16.8,1497,116.3,5,8730
1075,Maruti,11,35000,Hyderabad,Petrol,Manual,First,19.7,796,46.3,5,1700
1076,Ford,4,68000,Hyderabad,Diesel,Automatic,First,10.91,3198,197,7,29500
1077,Maruti,1,34688,Kochi,Diesel,Manual,First,24.3,1248,88.5,5,10490
1078,Porsche,5,10512,Kolkata,Petrol,Automatic,First,8.6,2706,265,2,64000
1079,Maruti,4,58000,Pune,Diesel,Manual,First,22.9,1248,74,5,7550
1080,Tata,6,40000,Mumbai,Petrol,Manual,First,17.57,1193,88.7,5,3950
1081,Hyundai,10,61000,Bangalore,Petrol,Manual,Fourth & Above,17,1197,80,5,3250
1082,Skoda,11,86000,Mumbai,Diesel,Manual,First,19.4,1422,70,5,2750
1083,Toyota,5,45000,Kolkata,Diesel,Manual,First,21.43,1364,87.2,5,7350
1084,Volkswagen,3,55000,Ahmedabad,Petrol,Manual,First,17,1198,73.75,5,4700
1085,Hyundai,4,36855,Kochi,Petrol,Manual,Second,15.29,1591,121.3,5,8770
1086,Hyundai,7,46821,Kochi,Petrol,Manual,First,20.36,1197,78.9,5,3420
1087,Chevrolet,5,120000,Kolkata,Petrol,Manual,First,18.6,1199,76.8,5,2500
1088,Jaguar,8,29000,Kolkata,Diesel,Automatic,First,14.74,2993,270.9,5,20000
1089,Nissan,6,40000,Mumbai,Petrol,Manual,First,13.24,1598,102.5,5,5250
1090,Audi,7,60000,Delhi,Diesel,Automatic,Second,15.73,1968,174.33,5,14500
1091,Hyundai,9,64984,Mumbai,Petrol,Automatic,First,16.95,1197,78.9,5,3450
1092,Maruti,5,73204,Pune,Petrol,Automatic,First,24.07,998,67.1,5,3300
1093,Audi,6,50000,Bangalore,Diesel,Automatic,First,11.33,4134,335.2,7,51000
1094,Maruti,3,35000,Kolkata,Diesel,Manual,First,24.3,1248,88.5,5,6500
1095,Hyundai,7,17729,Hyderabad,Petrol,Manual,First,21.1,814,55.2,5,3650
1096,Mahindra,8,97000,Chennai,Diesel,Manual,First,20,1497,115,5,7250
1097,Hyundai,6,89614,Kochi,Diesel,Manual,First,22,1582,126.2,5,6010
1098,Maruti,5,14000,Kolkata,Petrol,Manual,First,18.9,998,67.1,5,2800
1099,Hyundai,8,50000,Chennai,Petrol,Manual,First,17,1197,80,5,4000
1100,Honda,6,62505,Delhi,Petrol,Manual,First,17.4,1497,117.3,5,5950
1101,Toyota,9,248000,Chennai,Diesel,Manual,Second,12.8,2494,102,7,9200
1102,Hyundai,8,94900,Pune,Diesel,Manual,First,16.8,1493,110,5,5350
1103,Tata,3,55000,Delhi,Diesel,Manual,First,17.6,2179,153.86,7,12000
1104,Audi,5,53735,Coimbatore,Diesel,Automatic,Second,12.07,2967,241.4,7,38940
1105,Maruti,12,53934,Coimbatore,Petrol,Manual,Second,18.9,998,67.1,5,2690
1106,BMW,7,58500,Bangalore,Diesel,Automatic,Second,17.09,1995,218,5,27500
1107,Honda,6,48000,Kolkata,Petrol,Manual,First,18,1198,86.7,5,2750
1108,Maruti,4,24000,Mumbai,Petrol,Manual,First,24.7,796,47.3,5,2800
1109,Hyundai,4,52001,Mumbai,Petrol,Manual,First,17.01,1591,121.3,5,6450
1110,Tata,2,9565,Coimbatore,Petrol,Manual,First,23.84,1199,84,5,5880
1111,Maruti,7,32953,Pune,Petrol,Manual,First,18.6,1197,85.8,5,4650
1112,Hyundai,6,18000,Jaipur,Petrol,Manual,First,21.1,814,55.2,5,2500
1113,Mercedes-Benz,2,20446,Kochi,Petrol,Automatic,First,12.6,1950,191.34,5,51350
1114,Hyundai,4,33016,Hyderabad,Diesel,Manual,First,22.54,1396,88.73,5,6850
1115,Toyota,8,48000,Chennai,Diesel,Manual,First,23.59,1364,67.05,5,5250
1116,Toyota,6,72022,Coimbatore,Diesel,Manual,First,21.43,1364,87.2,5,9230
1117,Mini,6,34000,Ahmedabad,Diesel,Automatic,First,20.7,1496,113.98,5,22000
1118,Volkswagen,6,69000,Hyderabad,Diesel,Manual,First,20.14,1498,88.8,5,5190
1119,Skoda,11,108000,Pune,Petrol,Automatic,First,13.7,1798,157.75,5,4350
1120,Mercedes-Benz,7,34700,Hyderabad,Diesel,Automatic,First,10,2148,170,5,24500
1121,Maruti,5,79000,Pune,Diesel,Manual,First,17.8,1248,75,5,5750
1122,Honda,4,58197,Kochi,Petrol,Automatic,First,18,1497,117.3,5,9190
1123,BMW,12,66000,Pune,Petrol,Automatic,Second,8.45,2979,321,5,10750
1124,Hyundai,11,60000,Bangalore,Petrol,Automatic,First,19.2,1197,80,5,2990
1125,Maruti,6,57000,Kolkata,Diesel,Manual,First,26.59,1248,74,5,3890
1126,Honda,2,45555,Coimbatore,Diesel,Manual,First,26,1498,98.6,5,11730
1127,Maruti,4,55137,Coimbatore,Petrol,Manual,First,14,796,35,5,3110
1128,Skoda,6,93325,Jaipur,Diesel,Manual,Second,17.2,1968,138.1,5,14450
1129,Maruti,2,38000,Ahmedabad,Diesel,Manual,First,24.52,1248,88.5,7,8700
1130,Hyundai,4,57738,Kochi,Diesel,Manual,First,24,1120,70,5,5040
1131,Maruti,3,38282,Jaipur,Diesel,Manual,First,28.09,1248,88.5,5,8500
1132,Mercedes-Benz,6,64000,Delhi,Diesel,Automatic,First,19.27,2143,170,5,15650
1133,Fiat,5,32000,Mumbai,Diesel,Manual,First,20.5,1248,91.72,5,5650
1134,Mercedes-Benz,10,83000,Bangalore,Petrol,Automatic,First,10.93,2497,204,5,16500
1135,Maruti,9,76000,Ahmedabad,CNG,Manual,First,26.3,998,67.1,5,2000
1136,Volkswagen,8,67200,Pune,Petrol,Manual,First,15.04,1598,103.6,5,3900
1137,BMW,7,62655,Jaipur,Diesel,Automatic,First,18.88,1995,184,5,14500
1138,BMW,5,16900,Bangalore,Diesel,Automatic,First,14.69,2993,258,5,44000
1139,Hyundai,3,8471,Delhi,Petrol,Manual,First,18.9,1197,81.86,5,5000
1140,Toyota,4,69000,Hyderabad,Diesel,Automatic,First,11.36,2755,171.5,7,19750
1141,Renault,3,30090,Coimbatore,Diesel,Automatic,First,19.6,1461,108.45,5,11440
1142,Tata,9,120000,Chennai,Diesel,Manual,First,18,1248,75,5,1750
1143,Maruti,7,23000,Bangalore,Diesel,Manual,First,17.8,1248,113.2530497,5,5600
1144,Mercedes-Benz,4,35939,Kochi,Petrol,Manual,First,12.3,1796,185,5,30420
1145,Mahindra,7,116694,Coimbatore,Diesel,Manual,First,15.1,2179,140,7,9570
1146,Mahindra,4,40448,Mumbai,Diesel,Manual,First,15.96,2523,62.1,7,3500
1147,Maruti,2,64456,Coimbatore,Diesel,Manual,First,24.3,1248,88.5,5,10460
1148,Fiat,6,52782,Pune,Diesel,Manual,First,20.5,1248,91.72,5,4850
1149,Honda,4,51672,Kochi,Petrol,Manual,First,19.5,1199,88.76,5,5680
1150,Skoda,5,56073,Mumbai,Petrol,Automatic,First,13.7,1798,157.75,5,13250
1151,Jaguar,9,65000,Bangalore,Diesel,Automatic,First,14.74,2993,270.9,5,16000
1152,Maruti,7,79000,Chennai,Petrol,Manual,First,18.9,998,67.1,5,3000
1153,Hyundai,13,43206,Kolkata,Petrol,Manual,First,17,1086,113.2530497,5,990
1154,Toyota,10,70200,Mumbai,Petrol,Automatic,First,14.53,1798,138.1,5,5000
1155,Maruti,4,42000,Delhi,Petrol,Manual,First,16.1,1197,85,5,4750
1156,Volkswagen,6,62000,Bangalore,Petrol,Manual,First,16.47,1198,74,5,5350
1157,Hyundai,3,20000,Hyderabad,Petrol,Manual,First,18.9,1197,81.86,5,5980
1158,Maruti,9,80000,Chennai,Diesel,Manual,Third,21.5,1248,88.8,5,3500
1159,Hyundai,2,50234,Kochi,Petrol,Manual,First,18.9,1197,81.86,5,4770
1160,Maruti,4,50003,Delhi,Petrol,Manual,First,21.4,1197,83.1,5,5450
1161,Tata,2,1000,Ahmedabad,Petrol,Automatic,First,20.3,1199,84,5,6850
1162,Maruti,4,54897,Jaipur,Diesel,Automatic,First,26.59,1248,74,5,7300
1163,Tata,13,108995,Pune,Petrol,Manual,First,15.3,1193,65.3,5,1250
1164,Maruti,5,73000,Chennai,Diesel,Manual,First,22.7,1598,118,5,8250
1165,Maruti,12,65000,Ahmedabad,Petrol,Manual,First,16.1,1298,88.2,5,2710
1166,Hyundai,4,32000,Kolkata,Petrol,Manual,First,19.1,1197,82,5,3600
1167,Hyundai,10,65000,Ahmedabad,Petrol,Manual,First,18.5,1197,80,5,3000
1168,Maruti,4,21600,Hyderabad,Petrol,Automatic,First,23.1,998,67.04,5,4650
1169,Mercedes-Benz,10,39000,Mumbai,Diesel,Automatic,First,14.84,2143,170,5,9500
1170,Maruti,9,58075,Mumbai,Petrol,Manual,First,17.5,1298,85.8,5,2950
1171,Volkswagen,9,58000,Mumbai,Petrol,Manual,First,15.04,1598,103.6,5,3000
1172,Maruti,5,58000,Hyderabad,Diesel,Manual,First,25.2,1248,74,5,5950
1173,Toyota,12,89000,Delhi,Petrol,Automatic,First,14.53,1798,138.1,5,4000
1174,Honda,12,72000,Delhi,Petrol,Manual,First,13.5,1799,130,5,2500
1175,Ford,3,1800,Kolkata,Petrol,Automatic,First,16.05,1499,110.4,5,11370
1176,Fiat,10,172050,Pune,Diesel,Manual,Second,19,1248,93,5,2250
1177,Hyundai,7,46230,Jaipur,Petrol,Manual,First,19.81,1086,68.05,5,3100
1178,Volvo,6,86925,Kochi,Diesel,Automatic,First,11.2,2400,215,5,17180
1179,Hyundai,2,5000,Jaipur,Petrol,Manual,First,18.6,1197,81.83,5,6500
1180,Honda,6,66000,Ahmedabad,Diesel,Manual,First,26,1498,98.6,5,5700
1181,Toyota,7,119000,Ahmedabad,Diesel,Manual,First,12.99,2494,100,8,8000
1182,Renault,4,45000,Chennai,Petrol,Manual,First,25.17,799,53.3,5,2600
1183,Maruti,11,66149,Hyderabad,Petrol,Manual,First,19,998,66.1,5,2450
1184,Mercedes-Benz,6,42070,Kochi,Petrol,Automatic,First,14.8,1595,120.7,5,11570
1185,Maruti,8,35503,Kolkata,Petrol,Manual,First,18.9,998,67.1,5,2300
1186,Maruti,4,41460,Jaipur,Diesel,Manual,First,25.2,1248,74,5,5900
1187,Hyundai,5,40600,Mumbai,Petrol,Automatic,First,17,1591,121.3,5,7200
1188,Hyundai,7,87000,Ahmedabad,Diesel,Automatic,First,22,1582,126.2,5,5900
1189,Honda,6,30000,Chennai,Petrol,Manual,Second,16.8,1497,116.3,5,6000
1190,Hyundai,10,27089,Kolkata,Petrol,Manual,First,16,1086,66.7,5,1950
1191,Toyota,4,53702,Coimbatore,Diesel,Manual,First,23.59,1364,67.04,5,6550
1192,Volvo,5,51000,Hyderabad,Diesel,Automatic,First,27.03,1969,190,5,25000
1193,Ford,8,36542,Kolkata,Diesel,Manual,First,20,1399,68.05,5,2650
1194,Mercedes-Benz,3,15000,Mumbai,Diesel,Automatic,First,13,2987,265,5,69500
1195,BMW,8,65000,Chennai,Diesel,Automatic,First,22.69,1995,190,5,14000
1196,Maruti,6,32000,Pune,Petrol,Manual,Second,22.74,796,47.3,5,2100
1197,Toyota,3,24393,Hyderabad,Diesel,Manual,First,13.68,2393,147.8,7,20400
1198,Volkswagen,1,1000,Hyderabad,Petrol,Manual,First,18.78,999,75,5,5680
1199,Nissan,6,28238,Mumbai,Petrol,Manual,First,13.24,1598,102.5,5,5550
1200,Mitsubishi,7,59000,Mumbai,Diesel,Manual,First,13.5,2477,175.56,7,12750
1201,Honda,8,92000,Mumbai,Petrol,Manual,Second,14.8,1799,130.2,5,3350
1202,Maruti,7,56840,Kolkata,Petrol,Manual,First,22.74,796,47.3,5,1550
1203,Volkswagen,7,62746,Coimbatore,Diesel,Manual,Second,20.54,1598,103.6,5,5900
1204,Land,8,96000,Hyderabad,Diesel,Automatic,First,12.35,2179,187.74,5,18980
1205,Honda,6,24000,Mumbai,Petrol,Manual,First,13.7,1997,153.86,5,11510
1206,Maruti,4,54000,Mumbai,Diesel,Manual,First,20.77,1248,88.76,7,7750
1207,Toyota,4,90000,Chennai,Diesel,Manual,First,12.99,2494,100.6,7,13900
1208,Tata,10,40000,Kolkata,Petrol,Manual,First,15,1368,90,5,1350
1209,Audi,5,65938,Mumbai,Diesel,Automatic,Second,12.07,2967,241.4,7,38000
1210,Hyundai,3,16100,Mumbai,Petrol,Automatic,First,17.1,1591,121.4,5,11600
1211,Volkswagen,3,3600,Hyderabad,Diesel,Automatic,First,21.5,1498,108.5,5,12250
1212,Honda,9,52000,Jaipur,Petrol,Manual,First,17,1497,118,5,3800
1213,Ford,6,54000,Mumbai,Diesel,Manual,First,20,1399,68.05,5,3250
1214,Honda,4,15399,Mumbai,Petrol,Manual,First,18.7,1199,88.7,5,6400
1215,Volkswagen,8,75000,Bangalore,Petrol,Manual,Second,16.47,1198,73.9,5,3950
